typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","179243",,"179243","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","111106156",,"111106156","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","84","BLZ","Belize","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2217129",,"2217129","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","96","BRN","Brunei Darussalam","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","84",,"84","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","100","BGR","Bulgaria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2127264",,"2127264","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","104","MMR","Myanmar","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","23888",,"23888","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","116","KHM","Cambodia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","107218",,"107218","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","61684016",,"61684016","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","132","CPV","Cabo Verde","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1329",,"1329","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","140","CAF","Central African Rep.","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","105347",,"105347","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","144","LKA","Sri Lanka","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","367291",,"367291","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","148","TCD","Chad","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","274313",,"274313","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","152","CHL","Chile","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2993793",,"2993793","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1172904261",,"1172904261","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","170","COL","Colombia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3547771",,"3547771","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","174","COM","Comoros","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1000",,"1000","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","178","COG","Congo","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","18671421",,"18671421","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","33968",,"33968","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","188","CRI","Costa Rica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8770009",,"8770009","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","191","HRV","Croatia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9358181",,"9358181","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","192","CUB","Cuba","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1841",,"1841","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","196","CYP","Cyprus","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1136821",,"1136821","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","203","CZE","Czechia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10509411",,"10509411","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","204","BEN","Benin","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1096877",,"1096877","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","208","DNK","Denmark","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9351976",,"9351976","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","212","DMA","Dominica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2727",,"2727","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","214","DOM","Dominican Rep.","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1085",,"1085","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","218","ECU","Ecuador","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","633675",,"633675","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","222","SLV","El Salvador","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","85434",,"85434","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","226","GNQ","Equatorial Guinea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","74161066",,"74161066","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","20293",,"20293","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","232","ERI","Eritrea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","587",,"587","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","233","EST","Estonia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6077445",,"6077445","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","234","FRO","Faroe Isds","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","66648",,"66648","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","246","FIN","Finland","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","13895465",,"13895465","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","619771328",,"619771328","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","258","PYF","French Polynesia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","44",,"44","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","266","GAB","Gabon","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1055584",,"1055584","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","268","GEO","Georgia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","993228",,"993228","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","270","GMB","Gambia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","31806",,"31806","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","216858427",,"216858427","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","288","GHA","Ghana","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3857133",,"3857133","0","true","false",
