partner,total_balance_2015_2023,pct_years_deficit,pct_years_surplus,classification,total_bilateral_trade
Lao People's Dem. Rep.,-61556.742999999995,77.77777777777779,0.0,persistent_deficit,61556.743
Guyana,-58603.36499999999,44.44444444444444,11.11111111111111,mixed,137738.577
Lesotho,-55821.997,44.44444444444444,0.0,mixed,55821.997
Naoero,-45576.611,66.66666666666666,0.0,persistent_deficit,45576.611
Brunei Darussalam,-42588.333999999995,44.44444444444444,22.22222222222222,mixed,72521.718
Timor-Leste,-39922.054,44.44444444444444,0.0,mixed,39922.054
Pitcairn,-39062.912,44.44444444444444,0.0,mixed,39062.912000000004
Niue,-31485.808,33.33333333333333,0.0,mixed,31485.808
Saint Lucia,-26349.171000000002,33.33333333333333,11.11111111111111,mixed,26515.387
Somalia,-25430.266,55.55555555555556,11.11111111111111,persistent_deficit,56136.386
Maldives,-23614.190000000002,44.44444444444444,0.0,mixed,23614.190000000002
Solomon Isds,-23343.688,33.33333333333333,0.0,mixed,23343.688
Cayman Isds,-20938.573,55.55555555555556,0.0,persistent_deficit,20938.573
Palau,-18523.788,22.22222222222222,0.0,mixed,18523.788
Holy See (Vatican City State),-16369.955,22.22222222222222,0.0,mixed,16369.955
Kyrgyzstan,-13418.038,33.33333333333333,11.11111111111111,mixed,74398.038
Saint Pierre and Miquelon,-11800.0,11.11111111111111,0.0,mixed,11800.0
Nepal,-10649.398,55.55555555555556,11.11111111111111,persistent_deficit,20676.112
Uzbekistan,-10490.553,33.33333333333333,0.0,mixed,10490.553
FS Micronesia,-8660.183,11.11111111111111,0.0,mixed,8660.183
Falkland Isds (Malvinas),-8618.9,11.11111111111111,0.0,mixed,8618.9
Kiribati,-8618.9,11.11111111111111,0.0,mixed,8618.9
Cuba,-6988.673999999941,55.55555555555556,33.33333333333333,persistent_deficit,905991.078
Bouvet Island,-5992.79,11.11111111111111,0.0,mixed,5992.79
"Oceania, nes",-3851.572,22.22222222222222,0.0,mixed,3851.572
Aruba,-2701.6890000000003,33.33333333333333,11.11111111111111,mixed,20047.148999999998
Samoa,-2199.0,11.11111111111111,0.0,mixed,2199.0
Montserrat,-1621.888,22.22222222222222,0.0,mixed,1621.888
Saint Kitts and Nevis,-911.551,33.33333333333333,0.0,mixed,911.551
Br. Indian Ocean Terr.,-570.17,11.11111111111111,0.0,mixed,570.17
N. Mariana Isds,-461.633,11.11111111111111,0.0,mixed,461.633
State of Palestine,-331.98,11.11111111111111,0.0,mixed,331.98
Bhutan,-291.92,33.33333333333333,0.0,mixed,291.92
South Sudan,-152.038,11.11111111111111,0.0,mixed,152.038
