partner,total_trade_2015,total_trade_2023,abs_change,pct_change,avg_annual_growth_pct,share_2015_pct,share_2023_pct,change_in_share_pp,status
India,850627638.0,1435394020.491,584766382.4909999,68.74528364325259,6.758866831451504,8.430855537266059,10.82141245192014,2.3905569146540806,growing
Netherlands,761942926.0,1312726988.98,550784062.98,72.2867873938369,7.0364006765290865,7.551871641334798,9.89662767276999,2.3447560314351916,growing
Indonesia,48689815.0,344420281.749,295730466.749,607.3764436135156,27.70453620601414,0.4825810708036387,2.596578968844771,2.1139978980411325,growing
France,828693357.0,1247421611.652,418728254.65199995,50.52873310917586,5.2452310338882535,8.213457528826554,9.404291482632575,1.1908339538060204,growing
Türkiye,117874439.0,305070674.50399995,187196235.50399995,158.80986335298695,12.621835961399563,1.1682930607355602,2.2999229122216898,1.1316298514861296,growing
Belgium,305280605.0,532176407.508,226895802.50800002,74.32368738525005,7.193771274082339,3.02573836553872,4.012069383468151,0.9863310179294307,growing
United Arab Emirates,72061662.0,217177196.581,145115534.581,201.37689105893784,14.785952813412395,0.7142272775497274,1.6372953947173536,0.9230681171676263,growing
Bangladesh,73742760.0,213683541.294,139940781.294,189.76884143473882,14.223762221053239,0.7308892031077904,1.6109567836560326,0.8800675805482422,growing
Chad,113099636.0,260891498.323,147791862.323,130.6740388828484,11.013255833306168,1.1209683883247814,1.966856813007266,0.8458884246824845,growing
Saudi Arabia,13956338.0,119862716.591,105906378.591,758.840740250057,30.839561425247663,0.13832594222297853,0.9036430940370876,0.7653171518141091,growing
Norway,68666533.0,188344299.89,119677766.88999999,174.28834930401976,13.442534311997845,0.6805770164358479,1.4199246499443015,0.7393476335084536,growing
Rep. of Korea,55719256.0,164702381.617,108983125.61700001,195.59328935942722,14.50826154484821,0.552252215886671,1.2416886080390925,0.6894363921524216,growing
United Kingdom,171346240.0,312355577.122,141009337.12199998,82.29497018551442,7.794557915784628,1.6982699970697623,2.354843675981375,0.6565736789116128,growing
Poland,25457376.0,116177830.70300001,90720454.70300001,356.36215886114894,20.896493093645184,0.2523165834565371,0.8758627985481404,0.6235462150916034,growing
Germany,252790997.0,386394623.65999997,133603626.65999997,52.85141806691793,5.446867816648404,2.5054962731277457,2.9130228579320856,0.4075265848043399,growing
Ukraine,0.0,49178925.010000005,49178925.010000005,,,0.0,0.3707591252840931,0.3707591252840931,emerging
United States,308625509.0,454299441.697,145673932.69700003,47.200872400019286,4.951535753655145,3.0588908298488713,3.424956189798415,0.3660653599495438,growing
Liberia,4853361.0,49823114.698,44969753.698,926.5693134716333,33.78996334648152,0.048103287070953515,0.3756156609889981,0.3275123739180446,growing
Gabon,53292295.0,108906564.022,55614269.022,104.35705390807432,9.344943405315309,0.5281977922217079,0.8210448358983519,0.29284704367664394,growing
Egypt,31416436.0,77583049.93100001,46166613.93100001,146.95051319952398,11.963442121407098,0.31137882379947396,0.5848973665740093,0.2735185427745353,growing
Greece,39166167.0,87624866.97500001,48458699.97500001,123.72591878852992,10.589663738556787,0.388189004417744,0.6606024638842755,0.27241345946653145,growing
Hungary,20449226.0,62705043.199999996,42255817.199999996,206.63773386826475,15.034523952788259,0.2026791307419346,0.47273231293701407,0.27005318219507946,growing
Guinea,0.0,35089422.404,35089422.404,,,0.0,0.2645385915732341,0.2645385915732341,emerging
Uruguay,1762311.0,28623734.704,26861423.704,1524.2158565656118,41.687151170552575,0.017466854812839838,0.21579387591455162,0.1983270211017118,growing
Kuwait,590613.0,27012807.586,26422194.586,4473.689977362503,61.26248223020636,0.005853763337785314,0.2036491222615456,0.1977953589237603,growing
Algeria,6953809.0,34674168.288,27720359.288000003,398.6356152146256,22.242693856152428,0.06892153098926296,0.2614079974663586,0.19248646647709566,growing
Peru,158884.0,24014177.703,23855293.703,15014.28318962262,87.25069762577023,0.0015747525607473622,0.18104249976530856,0.1794677472045612,growing
Lithuania,699015.0,24699183.494999997,24000168.494999997,3433.4268213128466,56.14371669000593,0.006928171881692413,0.18620674742230417,0.17927857554061175,growing
Singapore,26317057.0,58243837.478999995,31926780.478999995,121.31592251747601,10.440046934394708,0.2608371698980658,0.439099354703502,0.17826218480543615,growing
Central African Rep.,26779986.0,57527150.206,30747164.206,114.8139666913941,10.029164287139313,0.2654254143291868,0.4336962608704081,0.16827084654122126,growing
Estonia,6250414.0,30491385.432,24240971.432,387.8298530625331,21.908376239705962,0.06194994745997813,0.22987406473748087,0.16792411727750273,growing
Malaysia,104345553.0,157973124.373,53627571.372999996,51.39420879105408,5.320680818507184,1.034203738509539,1.1909568458240833,0.15675310731454428,growing
Brazil,113685782.0,169375958.65,55690176.650000006,48.98605231918975,5.109798033988255,1.1267778777288235,1.2769226301807024,0.15014475245187886,growing
Qatar,4777745.0,23699938.855,18922193.855,396.04863497319343,22.163237144436643,0.04735383155854527,0.1786734581404444,0.13131962658189913,growing
Argentina,50149485.0,81728063.817,31578578.817,62.968899515119645,6.295062495814507,0.49704834926053876,0.616146559645051,0.11909821038451229,growing
Ethiopia,357824.0,15250958.247,14893134.247,4162.139556597657,59.84662029489065,0.0035465135589289303,0.11497672912232583,0.1114302155633969,growing
Finland,15471152.0,33332701.842,17861549.842,115.45067776465514,10.06987748528745,0.15333977134080007,0.2512947034889935,0.09795493214819345,growing
Switzerland,16632714.0,34069257.641,17436543.641000003,104.83282307986539,9.376732155003031,0.16485240152361788,0.2568475858202897,0.09199518429667183,growing
Latvia,849168.0,13239270.967,12390102.967,1459.0873616292654,40.96419201656827,0.00841638857597188,0.0998106510487145,0.09139426247274263,growing
Oman,2001613.0,13344947.081,11343334.081,566.7096527150852,26.762878612893214,0.01983865711698604,0.10060734157381435,0.0807686844568283,growing
Czechia,10509411.0,24288994.309,13779583.309,131.11660880899987,11.0398571893376,0.1041622937753109,0.18311433774129895,0.07895204396598805,growing
Faroe Isds,66648.0,10357240.849,10290592.849,15440.212533009242,87.90231003101545,0.0006605706595295323,0.07808307230690965,0.07742250164738013,growing
Chile,2993793.0,12974206.061,9980413.061,333.370178265498,20.117802348563995,0.029672485543525643,0.09781233098230219,0.06813984543877655,growing
Russian Federation,37514268.0,56058628.696,18544360.696000002,49.43282032319011,5.149145846064607,0.37181647993229544,0.4226251008074794,0.05080862087518395,growing
"Areas, nes",2215.0,6603403.859999999,6601188.859999999,298022.07042889384,171.83117731944364,2.1953607172877116e-05,0.04978295557565307,0.04976100196848019,growing
Tunisia,24451759.0,38580325.451,14128566.450999998,57.78139090525143,5.866114168214032,0.24234957642070543,0.29085645354142714,0.048506877120721714,growing
Mexico,6337986.0,14542504.283,8204518.283,129.44992751640663,10.939445437831852,0.06281790289444458,0.10963570607346337,0.04681780317901879,growing
Australia,4806592.0,12124343.651,7317751.651000001,152.24407752935969,12.260668035805654,0.047639743841216144,0.09140523193165477,0.04376548809043863,growing
Slovenia,2415696.0,7694179.343,5278483.343,218.50776517409477,15.581946238634604,0.023942772475435917,0.05800629441187573,0.034063521936439814,growing
Côte d'Ivoire,95526450.0,129900009.809,34373559.809,35.983290291851105,3.916782890596293,0.9467946536882561,0.9793140862958435,0.032519432607587384,growing
Jordan,1358738.0,5757810.199999999,4399072.199999999,323.7616229177368,19.781625639124734,0.013466907585941627,0.04340803856265155,0.029941130976709925,growing
Rwanda,372889.0,3389188.158,3016299.158,808.9000099225239,31.76938334256867,0.003695827821709695,0.025551035054706385,0.02185520723299669,growing
Philippines,4818489.0,8571756.474,3753267.4739999995,77.89303812875778,7.465699289488104,0.04775765899450541,0.0646223342987322,0.016864675304226785,growing
Slovakia,1206746.0,3306582.786,2099836.786,174.00818283217842,13.428043627872999,0.011960463946474386,0.024928274482769124,0.012967810536294738,growing
Yemen,60232.0,1572708.1,1512476.1,2511.083975295524,50.34971352229951,0.0005969795337411894,0.01185662109053099,0.0112596415567898,growing
Ghana,5674798.0,8682907.118,3008109.1180000007,53.008214882714775,5.460382834903421,0.05624482441418903,0.06546029721751954,0.009215472803330516,growing
