country,exports,imports,total_bilateral_trade,trade_balance,share_of_total_trade_pct,total_trade_growth_pct_2015_2023,avg_annual_growth_pct,status,rank_by_total_trade
China,5203656959.429,10300479264.184,15504136223.612999,-5096822304.755,16.67454465460485,16.631414559256747,1.9417167077094843,stable,1
France,2531021688.29,5146987452.6710005,7678009140.961,-2615965764.3810005,8.257622639075578,50.52873310917586,5.2452310338882535,growing,2
Netherlands,5807682624.033,1650346571.3099997,7458029195.342999,4157336052.7230005,8.021036390514475,72.2867873938369,7.0364006765290865,growing,3
India,3355625487.219,3583750375.981,6939375863.2,-228124888.76200008,7.463229878604023,68.74528364325259,6.758866831451504,growing,4
United States,983847367.822,2086719736.811,3070567104.6330004,-1102872368.989,3.3023644505383642,47.200872400019286,4.951535753655145,growing,5
Nigeria,378779330.283,2208912706.765,2587692037.048,-1830133376.4819999,2.7830371071176745,-83.0583096592224,-19.902383564743708,declining,6
Vietnam,825161574.4920001,212621187.351,1037782761.8430002,612540387.141,1.116125062018947,-38.340346304069634,-5.865214973540334,declining,7
