year,top5_share_pct,top10_share_pct,remaining_partners_share_pct,hhi
2015,48.50898735278788,64.36711363747351,35.63288636252649,623.4636862410473
2016,43.75360376916323,61.67827150085985,38.32172849914015,610.51665911932
2017,43.44480654222598,62.419037458909024,37.580962541090976,564.5118890424633
2018,46.394617482715056,63.3850700565328,36.6149299434672,705.6051599994848
2019,42.55275581854711,63.61135384407021,36.38864615592979,582.9444998446646
2020,41.28263638107107,59.31892500625643,40.68107499374357,600.5613005686716
2021,46.027699894434534,63.20241182965391,36.79758817034609,688.1672230764868
2022,50.34918276606045,64.15470145954497,35.84529854045503,629.1565131435643
2023,48.89694444128192,63.254454146365106,36.745545853634894,619.4354526940831
