year,exports,imports,total_trade,trade_balance,export_growth_pct,import_growth_pct,total_trade_growth_pct
2015,4052643290.0,6036814820.0,10089458110.0,-1984171530.0,,,
2016,2130449501.0,4898887030.0,7029336531.0,-2768437529.0,-47.43061877029893,-18.849804473545205,-30.32989032351511
2017,3264185171.662,5183629302.428,8447814474.09,-1919444130.7660003,53.21579648472503,5.812386990846785,20.179400101764735
2018,3804792058.905,6133556703.244,9938348762.149,-2328764644.339,16.56177143184996,18.32552725888512,17.644022517664972
2019,4076568061.084,6561572963.703,10638141024.787,-2485004902.619,7.142992257432734,6.978271844012207,7.041333317896981
2020,3152853063.23,5610413588.94,8763266652.17,-2457560525.7099996,-22.659133467487724,-14.495904869527154,-17.624078946204225
2021,4294055976.357,6966293016.781,11260348993.138,-2672237040.4240003,36.19588005658192,24.16719206786986,28.494880277888846
2022,5622985686.322,7926780025.424,13549765711.745998,-2303794339.102,30.948122644000552,13.787634346262735,20.331667517615635
2023,4967511895.978,8296875048.587,13264386944.564999,-3329363152.609,-11.657041772993482,4.6689200656000684,-2.1061527797016533
