country,total_exports,avg_annual_exports,export_share_pct,export_2015,export_2023,export_growth_pct
China,5203656959.429,578184106.6032223,14.713709157675826,506026663.0,385441912.627,-23.829722658902664
Nigeria,378779330.283,42086592.25366667,1.0710254238847536,42362990.0,65644591.321,54.95740815509009
France,2531021688.29,281224632.0322222,7.156643353630125,208922029.0,615012972.47,194.37440149980546
Netherlands,5807682624.033,645298069.337,16.421634568987013,659765948.0,1152959357.89,74.75278337493103
Vietnam,825161574.4920001,91684619.38800001,2.3332028820934045,89042444.0,57698644.194,-35.20096529021598
India,3355625487.219,372847276.3576667,9.488269085755107,632743481.0,475507176.409,-24.84992881198882
United States,983847367.822,109316374.20244445,2.78189821860707,83164028.0,53353869.004,-35.845015823427886
