partner,total_exports,total_imports,total_bilateral_trade,pct_share_total_trade
Grenada,0.0,134869.142,134869.142,0.00014505042385929033
El Salvador,0.0,129372.306,129372.306,0.00013913863128864432
Cook Isds,0.0,127431.6,127431.6,0.00013705142124406444
Tokelau,0.0,119516.11600000001,119516.11600000001,0.00012853839675065268
Fiji,0.0,115968.651,115968.651,0.00012472313334610014
Heard Island and McDonald Islands,115896.604,0.0,115896.604,0.000124645647512552
Bermuda,0.0,114318.677,114318.677,0.0001229486026824676
Cocos Isds,0.0,109841.295,109841.295,0.00011813322277236219
Guam,0.0,97593.753,97593.753,0.00010496111288873543
Western Sahara,0.0,88805.853,88805.853,9.550981364466478e-05
Br. Virgin Isds,0.0,79717.572,79717.572,8.573545761589776e-05
Malawi,0.0,76660.198,76660.198,8.24472822184716e-05
Kyrgyzstan,30490.0,43908.038,74398.038,8.001435158681139e-05
Brunei Darussalam,14966.692,57555.026,72521.718,7.799638804630287e-05
Lao People's Dem. Rep.,0.0,61556.743,61556.743,6.620366624373873e-05
Somalia,15353.06,40783.326,56136.386,6.0374126078660256e-05
Lesotho,0.0,55821.997,55821.997,6.0036003828971e-05
Naoero,0.0,45576.611,45576.611,4.90171928551306e-05
Timor-Leste,0.0,39922.054,39922.054,4.293577291411461e-05
Pitcairn,0.0,39062.912000000004,39062.912000000004,4.20117742187324e-05
Papua New Guinea,28215.978,8952.915,37168.893,3.997477557935832e-05
Niue,0.0,31485.808,31485.808,3.386267405743736e-05
Saint Lucia,83.108,26432.279,26515.387,2.8517035595459758e-05
Maldives,0.0,23614.190000000002,23614.190000000002,2.5396827011725305e-05
Solomon Isds,0.0,23343.688,23343.688,2.5105904795027388e-05
Cayman Isds,0.0,20938.573,20938.573,2.2519227479468157e-05
Nepal,5013.357,15662.755,20676.112,2.2236953278476107e-05
Aruba,8672.73,11374.419,20047.148999999998,2.156050981343344e-05
Palau,0.0,18523.788,18523.788,1.992215017486829e-05
Holy See (Vatican City State),0.0,16369.955,16369.955,1.76057241567349e-05
Tajikistan,13191.23,276.399,13467.628999999999,1.4484301344703968e-05
Saint Pierre and Miquelon,0.0,11800.0,11800.0,1.2690782903769241e-05
Uzbekistan,0.0,10490.553,10490.553,1.128248564944789e-05
FS Micronesia,0.0,8660.183,8660.183,9.31394087795873e-06
Kiribati,0.0,8618.9,8618.9,9.269541421126838e-06
Falkland Isds (Malvinas),0.0,8618.9,8618.9,9.269541421126838e-06
Bouvet Island,0.0,5992.79,5992.79,6.445186176091463e-06
"Oceania, nes",0.0,3851.572,3851.572,4.142327465274263e-06
Samoa,0.0,2199.0,2199.0,2.3650026784227592e-06
Montserrat,0.0,1621.888,1621.888,1.744324449341397e-06
Saint Kitts and Nevis,0.0,911.551,911.551,9.803640548062504e-07
Br. Indian Ocean Terr.,0.0,570.17,570.17,6.132121769696701e-07
N. Mariana Isds,0.0,461.633,461.633,4.964817105267547e-07
State of Palestine,0.0,331.98,331.98,3.5704119562655193e-07
Bhutan,0.0,291.92,291.92,3.139570631583319e-07
South Sudan,0.0,152.038,152.038,1.6351536026468374e-07
Bonaire,0.0,71.15,71.15,7.652111894942216e-08
